Interprete;Codigo;Nome;Trecho;Idioma
Ângelo Máximo;6561;A PRIMEIRA NAMORADA;A chuva já molhou a rua a noite está chegando;BRA
Ângelo Máximo;6456;DOMINGO FELIZ (BEAUTIFUL SUNDAY);Meu domingo alegre vai ser pois pretendo sair;BRA
Animals (The);4623;DON'T LET ME BE MISUNDERSTOOD;Baby, do you understand me now;EUA
Animals (The);4552;THE HOUSE OF THE RISING SUN;There is a house in New Orleans;EUA
Anitta;15302;MENINA MÁ;Me olha e deseja que eu veja mas já digo;BRA
Anitta;15307;NÃO PARA;Hoje cê pode chegar que eu tô querendo;BRA
Anitta;15192;SHOW DAS PODEROSAS;Prepara que agora é hora do show das ;BRA
Anitta;15320;ZEN;Ohh ... Olha cê me faz tão bem só de;BRA
Annie Lennox;4745;NO MORE I LOVE YOUS;I used to be lunatic from the gracious;EUA
Antônio Carlos e Jocafi;3549;VOCÊ ABUSOU;Você abusou tirou partido de mim abusou;BRA
Antônio Fagundes;4427;CANTO ALEGRETENSE;Não me perguntes onde fica o Alegrete;BRA
Antônio Marcos;4376;SONHOS DE UM PALHAÇO;"Vejam só que história boba...
";BRA
Aphrodite's Child;4759;RAIN AND TEARS;Rain and tears are the same;EUA
Araketu;3017;ARA KETU BOM DEMAIS;Não dá pra esconder;BRA
Araketu;6060;FACE OCULTA;Ô ô ié ié ié ié hum... Sonhei com você será;BRA
Araketu;4323;MINHA RAZÃO DE VIVER;Como eu digo ao meu coração;BRA
Araketu;3586;NOSSA GUERRA SANTA;Esse nosso amor é uma loucura;BRA
Araketu;3893;PIPOCA;O Araketu o Araketu quando toca;BRA
Araketu;3389;SEMPRE SERÁ;Gosto de ficar te olhando;BRA
Araketu;3775;TENTAÇÃO;No meu corpo ficou a lembrança;BRA
Araketu;6560;VOLTA;Amor minha maior felicidade é ver você;BRA
Arches;4654;SUGAR SUGAR;Sugar ah honey honey;EUA
Arlindo Farias;6447;BICHO DO MATO;Sou bicho feito do mato não tenho medo;BRA
Arnaldo Antunes;15203;A CASA É SUA;Não me falta cadeira não me falta sofá;BRA
Arriba Saia;6614;LIBERA O TÓIM;Sequestraram o Toim sequestraram o Toim;BRA
Art Popular;4344;AGAMAMOU;A galera lá do morro do Salgueiro e;BRA
Art Popular;3306;BOM BOCADO;Ai ai ai... Oh oh oh... Como um bom bocado;BRA
Art Popular;4435;DIZEM QUE A FELICIDADE;Dizem que a felicidade é um momento;BRA
Art Popular;3797;FRICOTE;Você é meu amor te quero de novo;BRA
Art Popular;3845;IRAÊ;Vejo você me olhar ah, que olhar;BRA
Art Popular;6065;MANEIRAS;Se eu quiser fumar eu fumo;BRA
Art Popular;3582;NANI;Quantas vezes Nani tantas vezes Nani;BRA
Art Popular;3535;PIMPOLHO;Pimpolho é um cara bem legal;BRA
Art Popular;4490;POR DEUS;De manhã o sol me diz...;BRA
Art Popular;4410;QUANDO VOCÊ ME BEIJA;Um beijo durante aquele amor;BRA
Art Popular;3544;TEMPORAL;Faz tempo que a gente não...;BRA
Art Popular;3598;TRAPAÇA;Quando você passa tento te dizer;BRA
Art Popular;3349;UTOPIA;Pra se dizer que a emoção;BRA
Art Popular;3285;VALEU DEMAIS;Ai valeu demais valeu valeu demais;BRA
Asa de Águia;3909;DANÇA DA MANIVELA;Dança da manivela;BRA
Asa de Águia;4321;MARÉ MANSA;Amor não dá pra te aturar desse jeito;BRA
Asa de Águia;3714;NÃO TEM LUA;Não tem lua que faça você me amar;BRA
As Meninas;4475;EU TENHO A MANHA;Saiu de casa e foi...;BRA
As Meninas;4456;SAMBA DA NEGA MALUCA;"""Afe"" Maria Ô nega danada";BRA
As Meninas;4419;XIBOM BOMBOM;Bom xibom xibom bombom bom xibom xibom;BRA
Ataulfo Alves;3007;AI! QUE SAUDADE DA AMÉLIA;Nunca vi fazer tanta exigência;BRA
Ataulfo Alves;3022;ATIRE A PRIMEIRA PEDRA;Covarde sei que me podem chamar;BRA
Ataulfo Alves;6631;SEI QUE É COVARDIA... MAS;Sei que é covardia mas um homem chorar por;BRA
Augusto César;3249;SAUDADE;Estou lendo a carta que você...;BRA
Babado Novo;6565;CAI FORA;Eu não quero te prender diga onde você;BRA
Baby do Brasil (Baby Consuelo);4372;SEM PECADO E SEM JUÍZO;Dia após dia começo a encontrar;BRA
Bala Bombom e Chocolate;6050;CAIXA POSTAL;Umdharan dharará... Diz pra mim como pôde;BRA
Bala Bombom e Chocolate;4351;FISSURAS DE UM CASAL;"Hoje eu acordei e ouvi a nossa canção
";BRA
Balão Mágico (A turma do);3454;AMIGOS DO PEITO;Meu nome é Mike gosto muito de brincar;BRA
Banda Bach;3354;ATÉ DE MANHÃ;Amor aquilo foi demais pra mim;BRA
Banda Brasil;3412;COMO DÓI;Se eu estou sofrendo é por...;BRA
Banda Brasil;3093;EU TE AMO, TE AMO, TE AMO;Tanto tempo longe de você;BRA
Banda Brasil;3220;PODEROSA;Pode ser que eu consiga esquecer mas eu;BRA
Banda Calypso;6531;CUMBIA DO AMOR;O amor que sinto por você é o maior...;BRA
Banda Calypso;6490;DANÇANDO CALYPSO;Chega pra cá meu bem que eu vou te ensinar;BRA
Banda Cheiro de Amor;3657;É DEMAIS MEU REI;Vou dar a volta pelo globo terrestre;BRA
Banda Cheiro de Amor;3084;ESTRELA PRIMEIRA;"É luz do meu ser a fonte mais pura do viver
";BRA
Banda Cheiro de Amor;3176;NOSSA GENTE (AVISA LÁ);Avisa lá que eu vou chegar mais tarde;BRA
Banda Cheiro de Amor;3927;OLHA EU AÍ;Olha... ê olha eu olha eu sim;BRA
Banda Cheiro de Amor;3891;PEGA NO BALANÇO;É bom demais fazer amor;BRA
Banda Cheiro de Amor;3732;TODO MUNDO DANÇA;Todo mundo dança move corpo, move;BRA
Banda Cheiro de Amor;3599;VAI SACUDIR, VAI ABALAR;Vai sacudir vai abalar explode coração;BRA
Banda Eva;3823;ALÔ PAIXÃO;Eu não vou perder você;BRA
Banda Eva;3607;BELEZA RARA;Eu não posso deixar que o tempo;BRA
Banda Eva;3465;COLEÇÃO;Sei que você gosta de brincar de amor;BRA
Banda Eva;3920;LEVA EU;Oh! Leva eu, eva, eva;BRA
Banda Eva;3371;ME ABRAÇA;Quando você passa eu sinto o seu cheiro;BRA
Banda Eva;3900;VEM MEU AMOR;Quando te vejo paro logo em teu olhar;BRA
Banda Eva - Timbalada;15236;NANÁ NANÁ;Ê naná naná ê ê...Quero sentir do teu corpo um abraço ;BRA
Banda Magníficos;4303;AMOR ESCONDIDO;Esquece tudo que te ensinaram;BRA
Banda Magníficos;6019;ME FAZ UM DENGO;Êta peneirado gostoso é...;BRA
Banda Magníficos;3712;ME USA;Momentos de amor quero com você;BRA
Banda Magníficos;6030;SÓ DEPENDE DE NÓS;"Só depende de nós ""Pega"" fogo os lençóis";BRA
Banda Mel;3023;BAIANIDADE NAGÔ;Êh ôh êh ôh laiá... Já pintou verão calor no;BRA
Banda Mel;3028;BATEU SAUDADE;Jura jura que me dá o seu amor;BRA
Banda Mel;3359;CRENÇA E FÉ;Vou dar a volta no mundo;BRA
Banda Mel;3383;PREFIXO DE VERÃO;Aê aê...ei ei... Quando você chegar quando;BRA
Barão Vermelho;3511;BETE BALANÇO;Pode seguir a tua estrela;BRA
Barão Vermelho;3890;O POETA ESTÁ VIVO;Baby, compra o jornal e vem ver o sol;BRA
Barão Vermelho;4369;POR VOCÊ;Por você eu dançaria tango no teto;BRA
Barão Vermelho;3223;PRO DIA NASCER FELIZ;Todo o dia a insônia me convence que;BRA
Barbra Streisand;4658;THE WAY WE WERE;Memories light the corners of my mind;EUA
Barbra Streisand;4613;WOMAN IN LOVE;Life is a moment in space;EUA
Barclay James Harvest;4647;POOR MAN'S MOODY BLUES;All the nights that I've missed you;EUA
Barry Manilow;4691;CAN'T SMILE WITHOUT YOU;You know I can't smile without you I can't;EUA
Barry Manilow;4719;I WRITE THE SONGS;I've been alive forever and I wrote;EUA
Barry Manilow;4736;MANDY;I remember all my life;EUA
Bay City Rollers;4650;SATURDAY NIGHT;"Saturday night Saturday night...
";EUA
Beach Boys (The);4652;SLOOP JOHN B.;We'll come on the sloop, John B.;EUA
Beatles (The);4563;AND I LOVE HER;I give her all my love that's all I do and if you;EUA
Beatles (The);4507;COME TOGETHER;Here come old flat top He come grooving up;EUA
Beatles (The);4628;GIRL;Is there anybody gone to listen to my story;EUA
Beatles (The);4518;HELP;Help I need somebody not just anybody help;EUA
Beatles (The);4714;HEY JUDE;Hey Jude, don't make it bad;EUA
Beatles (The);4525;I WANNA HOLD YOUR HAND;Oh yeah I'll tell you something;EUA
Beatles (The);4534;LET IT BE;When I find myself in times of trouble;EUA
Beatles (The);4739;MICHELLE;Michelle, ma belle these are words that;EUA
Beatles (The);4644;OBLADI OBLADA;Desmond has a barrow in the marketplace;EUA
Beatles (The);4770;SOMETHING;Something in the way she moves;EUA
Beatles (The);4674;THE LONG AND WINDING ROAD;The long and winding road;EUA
Beatles (The);4793;TWIST AND SHOUT;Well shake it up baby Twist and Shout;EUA
Beatles (The);4559;YESTERDAY;Yesterday all my troubles seemed  so far away;EUA
Bee Gees;4511;DON'T FORGET TO REMEMBER;Oh my heart won't believe that you have left;EUA
Bee Gees;4708;FIRST OF MAY;When I was small and Christmas trees;EUA
Bee Gees;4716;HOW DEEP IS YOUR LOVE;I know your eyes in the morning sun;EUA
Bee Gees;4585;I STARTED A JOKE;I started a joke which started;EUA
Bee Gees;4737;MASSACHUSETTS;Feel I'm going back to Massachusetts;EUA
Bee Gees;4743;NIGHTS ON BROADWAY;"Here we are in a room full
";EUA
Bee Gees;4772;STAYIN' ALIVE;Well you can tell by the way I use my w;EUA
Bee Gees;4791;TOO MUCH HEAVEN;Nobody gets too much heaven no more;EUA
Bee Gees;4665;WORDS;Smile an everlasting smile;EUA
Belchior;3015;APENAS UM RAPAZ LATINO AMERICANO;Eu sou apenas um rapaz;BRA
Belchior;3921;MEDO DE AVIÃO;Foi por medo de avião;BRA
Belchior;3854;PARALELAS;"Dentro do carro sobre o trevo
";BRA
Belchior;6556;TODO SUJO DE BATOM;Eu estou muito cansado do peso da minha;BRA
Belo;6012;DESAFIO;Já virou desafio Me apossar do teu;BRA
Belo;6057;ETERNAMENTE;Por que por que que todo amor;BRA
Belo;4499;TUA BOCA;Mel tua boca tem um mel E melhor sabor;BRA
Benito Di Paula;3698;CHARLIE BROWN;Eh meu amigo Charlie;BRA
Benito Di Paula;6477;TUDO ESTÁ NO SEU LUGAR;Tudo está no seu lugar graças...;BRA
Benito Di Paula;3777;VAI FICAR NA SAUDADE;Você cortou o barato do meu amor;BRA
Berlin;4781;TAKE MY BREATH AWAY;Watching every motion;EUA
Bertie Higgins;4573;CASABLANCA;I fell in love with you watching Casablanca;EUA
Beth Carvalho;6441;1800 COLINAS;Subi mais de mil e oitocentas colinas;BRA
Beth Carvalho;3302;ANDANÇA;Vim tanta areia, andei;BRA
Beth Carvalho;6055;COISINHA DO PAI;Ô coisinha tão bonitinha do pai;BRA
Beth Carvalho;3296;VOU FESTEJAR;Chora não vou ligar não vou ligar;BRA
Beto Barbosa;3650;BALANÇA O BUMBUM MUCHACHA;"Quando eu te vejo bate meu...
";BRA
Beto Barbosa;3457;BEIJINHO NA BOCA;Beijinho na boca gostoso doce mel;BRA
Beto Barbosa;3419;DONA;É amor e prazer uma louca paixão;BRA
Beto Barbosa;3407;EMBALO TRILEGAL;Eu vou mostrar pra você como se dança;BRA
Beto Barbosa;3153;MEU AMOR NÃO VÁ EMBORA;Meu amor não vá embora não;BRA
Beto Barbosa;3485;PRETA;Preta fala pra mim;BRA
Beto Guedes;6420;MARIA SOLIDÁRIA;Eu choro de cara suja meu papagaio o vento;BRA
Beto Guedes;6544;PAISAGEM DA JANELA;Da janela lateral do quarto de dormir;BRA
Beto Guedes;3493;SOL DE PRIMAVERA;Quando entrar setembro;BRA
Bette Midler;4657;THE ROSE;Some say love it is a river;EUA
